side,layer_index,layer_label,pattern_index,location,sampled_from,convexhull_area,pattern_area,pattern_resistance
back,0,Layer 1 (start),9,normal,index[0],37.25624588,4.254761325282081,0.016649835812783474
back,0,Layer 1 (start),18,normal,index[9],37.25624588,4.254761325282081,0.016649835812783474
back,0,Layer 1 (start),29,normal,index[20],37.25624588,4.254761325282081,0.016649835812783474
front,0,Layer 1 (start),0,normal,index[0],31.510040520000004,4.235127739248194,0.01256557157447063
front,0,Layer 1 (start),9,normal,index[9],37.25624588,4.254761325282081,0.016649835812783474
front,0,Layer 1 (start),20,normal,index[20],37.25624588,4.254761325282081,0.016649835812783474
front,0,Layer 1 (start),52,normal,index[52],37.25624588,4.254761325282081,0.016649835812783474
front,0,Layer 1 (start),53,end,index[53],37.25624588,4.11032585735037,0.020149668882334205
back,1,Layer 2 (normal),0,start,index[0],36.57009229999999,4.266141493099077,0.012638263813101066
back,1,Layer 2 (normal),9,normal,index[9],36.57009229999999,4.119376554706701,0.01602522401250425
back,1,Layer 2 (normal),20,normal,index[20],36.57009229999999,4.119376554706701,0.01602522401250425
back,1,Layer 2 (normal),52,normal,index[52],36.57009229999999,4.119376554706701,0.01602522401250425
back,1,Layer 2 (normal),53,end,index[53],36.57009229999999,4.096626878611088,0.01641445149800493
front,1,Layer 2 (normal),0,start,index[0],36.57009229999999,4.266141493099077,0.012638263813101066
front,1,Layer 2 (normal),9,normal,index[9],36.57009229999999,4.119376554706701,0.01602522401250425
front,1,Layer 2 (normal),20,normal,index[20],36.57009229999999,4.119376554706701,0.01602522401250425
front,1,Layer 2 (normal),52,normal,index[52],36.57009229999999,4.119376554706701,0.01602522401250425
front,1,Layer 2 (normal),53,end,index[53],36.57009229999999,4.096626878611088,0.01641445149800493
back,2,Layer 3 (normal),0,start,index[0],34.48957120000001,4.009217702077693,0.01530715267953566
back,2,Layer 3 (normal),9,normal,index[9],34.48957120000001,3.986258344777191,0.016351698916144995
back,2,Layer 3 (normal),20,normal,index[20],34.48957120000001,3.986258344777191,0.016351698916144995
back,2,Layer 3 (normal),52,normal,index[52],34.48957120000001,3.986258344777191,0.016351698916144995
back,2,Layer 3 (normal),53,end,index[53],34.48957120000001,3.8803887101498997,0.01838966105139369
front,2,Layer 3 (normal),0,start,index[0],34.48957120000001,4.009217702077693,0.01530715267953566
front,2,Layer 3 (normal),9,normal,index[9],34.48957120000001,3.986258344777191,0.016351698916144995
front,2,Layer 3 (normal),20,normal,index[20],34.48957120000001,3.986258344777191,0.016351698916144995
front,2,Layer 3 (normal),52,normal,index[52],34.48957120000001,3.986258344777191,0.016351698916144995
front,2,Layer 3 (normal),53,end,index[53],34.48957120000001,3.8803887101498997,0.01838966105139369
back,3,Layer 4 (end),0,start,index[0],34.39613107000001,3.9669039513437223,0.01317024775735342
back,3,Layer 4 (end),9,normal,index[9],34.39613107000001,3.8595087026022465,0.016019246086760256
back,3,Layer 4 (end),20,normal,index[20],34.39613107000001,3.8595087026022465,0.016019246086760256
back,3,Layer 4 (end),52,normal,index[52],34.39613107000001,3.8595087026022465,0.016019246086760256
back,3,Layer 4 (end),53,normal,index[53],34.39613107000001,3.8595087026022465,0.016019246086760256
front,3,Layer 4 (end),0,start,index[0],34.39613107000001,3.9669039513437223,0.01317024775735342
front,3,Layer 4 (end),9,normal,index[9],34.39613107000001,3.8595087026022465,0.016019246086760256
front,3,Layer 4 (end),20,normal,index[20],34.39613107000001,3.8595087026022465,0.016019246086760256
front,3,Layer 4 (end),52,normal,index[52],34.39613107000001,3.8595087026022465,0.016019246086760256
front,3,Layer 4 (end),53,normal,index[53],34.39613107000001,3.8595087026022465,0.016019246086760256
overall,,,AVG,average,n=432,,,0.016062998688323584
